estado,api_codigo,api_descripcion,api_precio,api_disponible,shopify_id,shopify_titulo,shopify_sku
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9010832212156,(YV) Corrector Líquido de Alta Cobertura Dolce Bella - Tono Beige,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9003728732348,(YV) Corrector Líquido Hidratante Atenea '1st Scene' - Alta Cobertura Luminosa (Tono Cinnamon),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9010930417852,(YV) Corrector Líquido Hidratante BLOOMSHELL - Alta Cobertura | Tono 01 Natural,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9012907671740,(YV) Cortaúñas de Precisión Trim de Acero Inoxidable,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9004601082044,(YV) Crema Aclarante Despigmentante Zamia - Fórmula Natural Anti-Manchas 60g,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9010828017852,(YV) Crema Antiarrugas Pond's Rejuveness - Formato Ahorro 200g,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9007347073212,(YV) Crema Antiarrugas Pond's Rejuveness con Colágeno y Vitamina E - 100g,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9005046071484,(YV) Crema Antiarrugas y Reafirmante Cicatricure - Tratamiento Anti-Edad (60g),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9010864455868,(YV) Crema Antimanchas Pond's Clarant B3 Piel Seca - Tono Uniforme en 2 Semanas (100g),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9007305621692,(YV) Crema Corporal Hidratante Lubriderm Protección Solar FPS 15 - 946ml,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9007203287228,(YV) Crema Corporal Lubriderm 'Reparación Intensiva' - Formato Familiar (946ml),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9007182545084,(YV) Crema Corporal Lubriderm 'Reparación Intensiva' - Piel Extra Seca (400ml),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9004889604284,"(YV) Crema Corporal Lubriderm Men 3 en 1 - Cuerpo, Rostro y Post-Afeitado (400ml)",
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9005975732412,(YV) Crema Corporal Lubriderm Piel Normal - Hidratación Familiar (Jumbo 946ml),
